id,domain,concept,definition_query,application_query,expected_answer
275,Common Nouns,Plant,"Define what a plant is.","According to this definition, is a rose a plant?",yes
276,Common Nouns,Plant,"Define what a plant is.","According to this definition, is a mushroom a plant?",no
277,Common Nouns,Transport Infrastructure,"Define what transport infrastructure is.","According to this definition, is a railway transport infrastructure?",yes
278,Common Nouns,Transport Infrastructure,"Define what transport infrastructure is.","According to this definition, is a bookshelf transport infrastructure?",no
279,Common Nouns,Weapon (Modern),"Define what a modern weapon is.","According to this definition, is a firearm a modern weapon?",yes
280,Common Nouns,Weapon (Modern),"Define what a modern weapon is.","According to this definition, is a pillow a modern weapon?",no
281,Scientific Concepts,Condensation,"Define what condensation is.","According to this definition, does condensation involve gas turning into liquid?",yes
282,Scientific Concepts,Condensation,"Define what condensation is.","According to this definition, does condensation involve solid turning into gas?",no
283,Scientific Concepts,Oxidation,"Define what oxidation is.","According to this definition, does oxidation involve loss of electrons?",yes
284,Scientific Concepts,Oxidation,"Define what oxidation is.","According to this definition, does oxidation involve gaining neutrons?",no
285,Scientific Concepts,Enzyme,"Define what an enzyme is.","According to this definition, is an enzyme a biological catalyst?",yes
286,Scientific Concepts,Enzyme,"Define what an enzyme is.","According to this definition, is an enzyme a type of bone?",no
287,Scientific Concepts,Neuron,"Define what a neuron is.","According to this definition, is a neuron a nerve cell?",yes
288,Scientific Concepts,Neuron,"Define what a neuron is.","According to this definition, is a neuron a muscle fiber?",no
289,Scientific Concepts,Plate Tectonics,"Define what plate tectonics is.","According to this definition, does plate tectonics describe movement of Earth’s plates?",yes
290,Scientific Concepts,Plate Tectonics,"Define what plate tectonics is.","According to this definition, does plate tectonics describe ocean tides?",no
291,Scientific Concepts,Acceleration,"Define what acceleration is.","According to this definition, is acceleration the rate of change of velocity?",yes
292,Scientific Concepts,Acceleration,"Define what acceleration is.","According to this definition, is acceleration the same as distance traveled?",no
293,Scientific Concepts,Diffusion,"Define what diffusion is.","According to this definition, does diffusion involve movement from high to low concentration?",yes
294,Scientific Concepts,Diffusion,"Define what diffusion is.","According to this definition, does diffusion require mechanical stirring?",no
295,Scientific Concepts,Reflection,"Define what reflection is.","According to this definition, does reflection involve light bouncing off a surface?",yes
296,Scientific Concepts,Reflection,"Define what reflection is.","According to this definition, does reflection involve absorption of light only?",no
297,Scientific Concepts,Isotope,"Define what an isotope is.","According to this definition, do isotopes have the same number of protons?",yes
298,Scientific Concepts,Isotope,"Define what an isotope is.","According to this definition, do isotopes have different atomic numbers?",no
299,Scientific Concepts,Velocity,"Define what velocity is.","According to this definition, is velocity speed with direction?",yes
300,Scientific Concepts,Velocity,"Define what velocity is.","According to this definition, is velocity independent of direction?",no
301,Scientific Concepts,Sound Wave,"Define what a sound wave is.","According to this definition, is a sound wave a vibration traveling through a medium?",yes
302,Scientific Concepts,Sound Wave,"Define what a sound wave is.","According to this definition, is a sound wave a visible object?",no
303,Scientific Concepts,Heat Transfer,"Define what heat transfer is.","According to this definition, does heat transfer involve movement of thermal energy?",yes
304,Scientific Concepts,Heat Transfer,"Define what heat transfer is.","According to this definition, does heat transfer involve movement of matter only?",no
305,Scientific Concepts,Density,"Define what density is.","According to this definition, is density mass per unit volume?",yes
306,Scientific Concepts,Density,"Define what density is.","According to this definition, is density measured in seconds?",no
307,Scientific Concepts,Chromosome,"Define what a chromosome is.","According to this definition, is a chromosome a structure containing DNA?",yes
308,Scientific Concepts,Chromosome,"Define what a chromosome is.","According to this definition, is a chromosome a type of protein?",no
309,Scientific Concepts,Catalyst,"Define what a catalyst is.","According to this definition, does a catalyst speed up a chemical reaction?",yes
310,Scientific Concepts,Catalyst,"Define what a catalyst is.","According to this definition, is a catalyst consumed permanently in a reaction?",no
311,Scientific Concepts,Wave Frequency,"Define what wave frequency is.","According to this definition, is frequency the number of cycles per second?",yes
312,Scientific Concepts,Wave Frequency,"Define what wave frequency is.","According to this definition, is frequency the height of a wave?",no
313,Social & Ethical Concepts,Accountability,"Define accountability by stating a necessary condition that must be satisfied for an agent to be accountable.","According to this definition, is being answerable for one’s actions accountability?",yes
314,Social & Ethical Concepts,Accountability,"Define accountability by stating a necessary condition that must be satisfied for an agent to be accountable.","According to this definition, is avoiding responsibility accountability?",no
315,Social & Ethical Concepts,Autonomy,"Define autonomy by stating a necessary condition that must be satisfied for an agent to be autonomous.","According to this definition, is the ability to make independent decisions autonomy?",yes
316,Social & Ethical Concepts,Autonomy,"Define autonomy by stating a necessary condition that must be satisfied for an agent to be autonomous.","According to this definition, is complete external control autonomy?",no
317,Social & Ethical Concepts,Charity,"Define charity by stating a necessary condition that must be satisfied for an action to count as charity.","According to this definition, is donating to help others charity?",yes
318,Social & Ethical Concepts,Charity,"Define charity by stating a necessary condition that must be satisfied for an action to count as charity.","According to this definition, is taking resources from others charity?",no
319,Social & Ethical Concepts,Civility,"Define civility by stating a necessary condition that must be satisfied for behavior to be considered civil.","According to this definition, is polite behavior civility?",yes
320,Social & Ethical Concepts,Civility,"Define civility by stating a necessary condition that must be satisfied for behavior to be considered civil.","According to this definition, is deliberate rudeness civility?",no
321,Social & Ethical Concepts,Coercion,"Define coercion by stating a necessary condition that must be satisfied for an action to count as coercion.","According to this definition, is forcing someone through threats coercion?",yes
322,Social & Ethical Concepts,Coercion,"Define coercion by stating a necessary condition that must be satisfied for an action to count as coercion.","According to this definition, is voluntary agreement coercion?",no
323,Social & Ethical Concepts,Dignity,"Define dignity by stating a necessary condition that must be satisfied for a person to be treated with dignity.","According to this definition, is treating people with respect dignity?",yes
324,Social & Ethical Concepts,Dignity,"Define dignity by stating a necessary condition that must be satisfied for a person to be treated with dignity.","According to this definition, is humiliating someone dignity?",no
325,Social & Ethical Concepts,Exploitation,"Define exploitation by stating a necessary condition that must be satisfied for an action to count as exploitation.","According to this definition, is unfairly benefiting from others exploitation?",yes
326,Social & Ethical Concepts,Exploitation,"Define exploitation by stating a necessary condition that must be satisfied for an action to count as exploitation.","According to this definition, is fair compensation exploitation?",no
327,Social & Ethical Concepts,Impartiality,"Define impartiality by stating a necessary condition that must be satisfied for judgment to be impartial.","According to this definition, is unbiased judgment impartiality?",yes
328,Social & Ethical Concepts,Impartiality,"Define impartiality by stating a necessary condition that must be satisfied for judgment to be impartial.","According to this definition, is favoritism impartiality?",no
329,Social & Ethical Concepts,Inclusion,"Define inclusion by stating a necessary condition that must be satisfied for inclusion to occur.","According to this definition, is ensuring participation of all groups inclusion?",yes
330,Social & Ethical Concepts,Inclusion,"Define inclusion by stating a necessary condition that must be satisfied for inclusion to occur.","According to this definition, is exclusion of certain groups inclusion?",no
331,Social & Ethical Concepts,Justice (Distributive),"Define distributive justice by stating a necessary condition that must be satisfied for resource allocation to be distributively just.","According to this definition, is fair allocation of resources distributive justice?",yes
332,Social & Ethical Concepts,Justice (Distributive),"Define distributive justice by stating a necessary condition that must be satisfied for resource allocation to be distributively just.","According to this definition, is unequal allocation without reason distributive justice?",no
333,Social & Ethical Concepts,Legitimacy,"Define legitimacy by stating a necessary condition that must be satisfied for authority to be legitimate.","According to this definition, is lawful authority legitimacy?",yes
334,Social & Ethical Concepts,Legitimacy,"Define legitimacy by stating a necessary condition that must be satisfied for authority to be legitimate.","According to this definition, is authority without justification legitimacy?",no
335,Social & Ethical Concepts,Obligation,"Define obligation by stating a necessary condition that must be satisfied for a duty to count as an obligation.","According to this definition, is a duty one is bound to perform an obligation?",yes
336,Social & Ethical Concepts,Obligation,"Define obligation by stating a necessary condition that must be satisfied for a duty to count as an obligation.","According to this definition, is a casual preference an obligation?",no
337,Social & Ethical Concepts,Reciprocity,"Define reciprocity by stating a necessary condition that must be satisfied for reciprocity to occur.","According to this definition, is mutual exchange reciprocity?",yes
338,Social & Ethical Concepts,Reciprocity,"Define reciprocity by stating a necessary condition that must be satisfied for reciprocity to occur.","According to this definition, is one-sided benefit reciprocity?",no
339,Social & Ethical Concepts,Responsibility (Moral),"Define moral responsibility by stating a necessary condition that must be satisfied for an agent to be morally responsible.","According to this definition, is being blameworthy for an action moral responsibility?",yes
340,Social & Ethical Concepts,Responsibility (Moral),"Define moral responsibility by stating a necessary condition that must be satisfied for an agent to be morally responsible.","According to this definition, is lack of agency moral responsibility?",no
351,Social & Ethical Concepts,Social Norm,"Define a social norm by stating a necessary condition that must be satisfied for a rule to count as a social norm.","According to this definition, is an accepted rule of behavior a social norm?",yes
352,Social & Ethical Concepts,Social Norm,"Define a social norm by stating a necessary condition that must be satisfied for a rule to count as a social norm.","According to this definition, is a private habit a social norm?",no
353,Social & Ethical Concepts,Tolerance,"Define tolerance by stating a necessary condition that must be satisfied for tolerance to occur.","According to this definition, is accepting differing views tolerance?",yes
354,Social & Ethical Concepts,Tolerance,"Define tolerance by stating a necessary condition that must be satisfied for tolerance to occur.","According to this definition, is suppressing differences tolerance?",no
355,Social & Ethical Concepts,Trustworthiness,"Define trustworthiness by stating a necessary condition that must be satisfied for an agent to be trustworthy.","According to this definition, is being reliable trustworthiness?",yes
356,Social & Ethical Concepts,Trustworthiness,"Define trustworthiness by stating a necessary condition that must be satisfied for an agent to be trustworthy.","According to this definition, is repeated betrayal trustworthiness?",no
357,Procedural Concepts,Audit,"Define what an audit is.","According to this definition, is an audit a systematic examination of records?",yes
358,Procedural Concepts,Audit,"Define what an audit is.","According to this definition, is an audit a casual conversation?",no
359,Procedural Concepts,Backup,"Define what a backup is.","According to this definition, is creating a copy of data a backup?",yes
360,Procedural Concepts,Backup,"Define what a backup is.","According to this definition, is deleting original data a backup?",no
361,Procedural Concepts,Calibration,"Define what calibration is.","According to this definition, is adjusting instruments to ensure accuracy calibration?",yes
362,Procedural Concepts,Calibration,"Define what calibration is.","According to this definition, is random adjustment calibration?",no
363,Procedural Concepts,Classification,"Define what classification is.","According to this definition, is grouping items by shared properties classification?",yes
364,Procedural Concepts,Classification,"Define what classification is.","According to this definition, is mixing items without criteria classification?",no
365,Procedural Concepts,Compilation,"Define what compilation is.","According to this definition, is translating source code into executable form compilation?",yes
366,Procedural Concepts,Compilation,"Define what compilation is.","According to this definition, is running a program without translation compilation?",no
367,Procedural Concepts,Configuration,"Define what configuration is.","According to this definition, is setting parameters for a system configuration?",yes
368,Procedural Concepts,Configuration,"Define what configuration is.","According to this definition, is ignoring system settings configuration?",no
369,Procedural Concepts,Debugging,"Define what debugging is.","According to this definition, is identifying and fixing errors debugging?",yes
370,Procedural Concepts,Debugging,"Define what debugging is.","According to this definition, is introducing new errors debugging?",no
371,Procedural Concepts,Encryption,"Define what encryption is.","According to this definition, is converting data into a secure encoded form encryption?",yes
372,Procedural Concepts,Encryption,"Define what encryption is.","According to this definition, is storing data in plain text encryption?",no
373,Procedural Concepts,Evaluation,"Define what evaluation is.","According to this definition, is assessing performance evaluation?",yes
374,Procedural Concepts,Evaluation,"Define what evaluation is.","According to this definition, is making a random guess evaluation?",no
375,Procedural Concepts,Execution,"Define what execution is.","According to this definition, is carrying out a set of instructions execution?",yes
376,Procedural Concepts,Execution,"Define what execution is.","According to this definition, is planning without action execution?",no
377,Procedural Concepts,Inspection,"Define what inspection is.","According to this definition, is careful examination inspection?",yes
378,Procedural Concepts,Inspection,"Define what inspection is.","According to this definition, is ignoring details inspection?",no
379,Procedural Concepts,Iteration,"Define what iteration is.","According to this definition, is repeating a process iteration?",yes
380,Procedural Concepts,Iteration,"Define what iteration is.","According to this definition, is performing a task once iteration?",no
381,Procedural Concepts,Logging,"Define what logging is.","According to this definition, is recording system events logging?",yes
382,Procedural Concepts,Logging,"Define what logging is.","According to this definition, is deleting event records logging?",no
383,Procedural Concepts,Optimization,"Define what optimization is.","According to this definition, is improving efficiency optimization?",yes
384,Procedural Concepts,Optimization,"Define what optimization is.","According to this definition, is reducing performance optimization?",no
385,Procedural Concepts,Monitoring,"Define what monitoring is.","According to this definition, is observing system behavior monitoring?",yes
386,Procedural Concepts,Monitoring,"Define what monitoring is.","According to this definition, is ignoring system behavior monitoring?",no
387,Procedural Concepts,Simulation,"Define what simulation is.","According to this definition, is modeling a system’s behavior simulation?",yes
388,Procedural Concepts,Simulation,"Define what simulation is.","According to this definition, is direct physical execution simulation?",no
389,Procedural Concepts,Testing,"Define what testing is.","According to this definition, is checking functionality testing?",yes
390,Procedural Concepts,Testing,"Define what testing is.","According to this definition, is skipping checks testing?",no
391,Abstract Properties,Effectiveness,"Define effectiveness by stating a condition that must be met for a system or action to be considered effective.","According to this definition, is effectiveness about achieving intended outcomes?",yes
392,Abstract Properties,Effectiveness,"Define effectiveness by stating a condition that must be met for a system or action to be considered effective.","According to this definition, is failure to achieve goals effectiveness?",no
393,Abstract Properties,Efficiency (Resource),"Define resource efficiency by stating a condition that must be met for resource use to be considered efficient.","According to this definition, is using fewer resources for the same output resource efficiency?",yes
394,Abstract Properties,Efficiency (Resource),"Define resource efficiency by stating a condition that must be met for resource use to be considered efficient.","According to this definition, is wasting resources resource efficiency?",no
395,Abstract Properties,Consistency (Behavioral),"Define behavioral consistency by stating a condition that must be met for behavior to be considered consistent.","According to this definition, is repeating the same behavior over time consistency?",yes
396,Abstract Properties,Consistency (Behavioral),"Define behavioral consistency by stating a condition that must be met for behavior to be considered consistent.","According to this definition, is unpredictable behavior consistency?",no
397,Abstract Properties,Clarity,"Define clarity by stating a condition that must be met for communication to be considered clear.","According to this definition, is clarity about being easy to understand?",yes
398,Abstract Properties,Clarity,"Define clarity by stating a condition that must be met for communication to be considered clear.","According to this definition, is confusion clarity?",no
399,Abstract Properties,Redundancy,"Define redundancy by stating a condition that must be met for redundancy to be present.","According to this definition, is duplication of components redundancy?",yes
400,Abstract Properties,Redundancy,"Define redundancy by stating a condition that must be met for redundancy to be present.","According to this definition, is having a single component redundancy?",no
401,Abstract Properties,Latency,"Define latency by stating a condition that must be met for latency to be present.","According to this definition, is latency the delay before a response?",yes
402,Abstract Properties,Latency,"Define latency by stating a condition that must be met for latency to be present.","According to this definition, is latency the speed of response?",no
403,Abstract Properties,Throughput,"Define throughput by stating a condition that must be met for throughput to be measured.","According to this definition, is throughput the amount of work done per unit time?",yes
404,Abstract Properties,Throughput,"Define throughput by stating a condition that must be met for throughput to be measured.","According to this definition, is throughput the total time taken for one task?",no
405,Abstract Properties,Scalability (System),"Define system scalability by stating a condition that must be met for a system to be considered scalable.","According to this definition, is handling increased demand system scalability?",yes
406,Abstract Properties,Scalability (System),"Define system scalability by stating a condition that must be met for a system to be considered scalable.","According to this definition, is failure under load system scalability?",no
407,Abstract Properties,Availability (System),"Define system availability by stating a condition that must be met for a system to be considered available.","According to this definition, is being operational when needed availability?",yes
408,Abstract Properties,Availability (System),"Define system availability by stating a condition that must be met for a system to be considered available.","According to this definition, is frequent downtime availability?",no
409,Abstract Properties,Fault Tolerance,"Define fault tolerance by stating a condition that must be met for a system to be fault tolerant.","According to this definition, is continued operation despite faults fault tolerance?",yes
410,Abstract Properties,Fault Tolerance,"Define fault tolerance by stating a condition that must be met for a system to be fault tolerant.","According to this definition, is crashing after a fault fault tolerance?",no
411,Abstract Properties,Security,"Define security by stating a condition that must be met for a system to be considered secure.","According to this definition, is protection against unauthorized access security?",yes
412,Abstract Properties,Security,"Define security by stating a condition that must be met for a system to be considered secure.","According to this definition, is unrestricted access security?",no
413,Abstract Properties,Privacy (Data),"Define data privacy by stating a condition that must be met for data handling to be considered private.","According to this definition, is protecting personal data data privacy?",yes
414,Abstract Properties,Privacy (Data),"Define data privacy by stating a condition that must be met for data handling to be considered private.","According to this definition, is exposing personal data data privacy?",no
415,Abstract Properties,Compliance,"Define compliance by stating a condition that must be met for behavior or systems to be compliant.","According to this definition, is adherence to rules compliance?",yes
416,Abstract Properties,Compliance,"Define compliance by stating a condition that must be met for behavior or systems to be compliant.","According to this definition, is violation of rules compliance?",no
417,Abstract Properties,Portability,"Define portability by stating a condition that must be met for a system to be considered portable.","According to this definition, is ability to move between systems portability?",yes
418,Abstract Properties,Portability,"Define portability by stating a condition that must be met for a system to be considered portable.","According to this definition, is dependence on one system portability?",no
419,Abstract Properties,Maintainability (System),"Define system maintainability by stating a condition that must be met for a system to be maintainable.","According to this definition, is ease of repair maintainability?",yes
420,Abstract Properties,Maintainability (System),"Define system maintainability by stating a condition that must be met for a system to be maintainable.","According to this definition, is difficulty of repair maintainability?",no
421,Mathematics & Logic,Composite Number,"Define what a composite number is.","According to this definition, is 8 a composite number?",yes
422,Mathematics & Logic,Composite Number,"Define what a composite number is.","According to this definition, is 7 a composite number?",no
423,Mathematics & Logic,Natural Number,"Define what a natural number is.","According to this definition, is 5 a natural number?",yes
424,Mathematics & Logic,Natural Number,"Define what a natural number is.","According to this definition, is -3 a natural number?",no
425,Mathematics & Logic,Whole Number,"Define what a whole number is.","According to this definition, is 0 a whole number?",yes
426,Mathematics & Logic,Whole Number,"Define what a whole number is.","According to this definition, is -1 a whole number?",no
427,Mathematics & Logic,Decimal Number,"Define what a decimal number is.","According to this definition, is 2.75 a decimal number?",yes
428,Mathematics & Logic,Decimal Number,"Define what a decimal number is.","According to this definition, is √2 an integer decimal representation?",no
429,Mathematics & Logic,Ratio,"Define what a ratio is.","According to this definition, is 2:3 a ratio?",yes
430,Mathematics & Logic,Ratio,"Define what a ratio is.","According to this definition, is a single number without comparison a ratio?",no
431,Mathematics & Logic,Proportion,"Define what a proportion is.","According to this definition, is equality of two ratios a proportion?",yes
432,Mathematics & Logic,Proportion,"Define what a proportion is.","According to this definition, is an unequal comparison a proportion?",no
433,Mathematics & Logic,Sequence,"Define what a sequence is.","According to this definition, is an ordered list of numbers a sequence?",yes
434,Mathematics & Logic,Sequence,"Define what a sequence is.","According to this definition, is a random unordered set a sequence?",no
435,Mathematics & Logic,Series,"Define what a series is.","According to this definition, is the sum of sequence terms a series?",yes
436,Mathematics & Logic,Series,"Define what a series is.","According to this definition, is a list without summation a series?",no
437,Mathematics & Logic,Matrix,"Define what a matrix is.","According to this definition, is a rectangular array of numbers a matrix?",yes
438,Mathematics & Logic,Matrix,"Define what a matrix is.","According to this definition, is a single scalar value a matrix?",no
439,Mathematics & Logic,Vector,"Define what a vector is.","According to this definition, is a quantity with magnitude and direction a vector?",yes
440,Mathematics & Logic,Vector,"Define what a vector is.","According to this definition, is a scalar without direction a vector?",no
441,Mathematics & Logic,Scalar,"Define what a scalar is.","According to this definition, is temperature a scalar quantity?",yes
442,Mathematics & Logic,Scalar,"Define what a scalar is.","According to this definition, is velocity a scalar quantity?",no
443,Mathematics & Logic,Limit,"Define what a limit is.","According to this definition, does a limit describe behavior near a point?",yes
444,Mathematics & Logic,Limit,"Define what a limit is.","According to this definition, is a limit always the value at a point?",no
445,Mathematics & Logic,Integral,"Define what an integral is.","According to this definition, is an integral related to area under a curve?",yes
446,Mathematics & Logic,Integral,"Define what an integral is.","According to this definition, is an integral a discrete count only?",no
447,Mathematics & Logic,Logical AND,"Define what logical AND is.","According to this definition, is logical AND true only when both inputs are true?",yes
448,Mathematics & Logic,Logical AND,"Define what logical AND is.","According to this definition, is logical AND true when either input is true?",no
449,Mathematics & Logic,Logical OR,"Define what logical OR is.","According to this definition, is logical OR true when at least one input is true?",yes
450,Mathematics & Logic,Logical OR,"Define what logical OR is.","According to this definition, is logical OR true only when both inputs are true?",no
451,Common Nouns,Reptile,"Define what a reptile is.","According to this definition, is a snake a reptile?",yes
452,Common Nouns,Reptile,"Define what a reptile is.","According to this definition, is a frog a reptile?",no
453,Common Nouns,Vehicle,"Define what a vehicle is.","According to this definition, is a bicycle a vehicle?",yes
454,Common Nouns,Vehicle,"Define what a vehicle is.","According to this definition, is a chair a vehicle?",no
455,Science,Planet,"Define what a planet is.","According to this definition, is Earth a planet?",yes
456,Science,Planet,"Define what a planet is.","According to this definition, is the Moon a planet?",no
457,Science,Acid,"Define what an acid is.","According to this definition, is vinegar an acid?",yes
458,Science,Acid,"Define what an acid is.","According to this definition, is salt an acid?",no
459,Energy,Fossil Fuel,"Define what a fossil fuel is.","According to this definition, is coal a fossil fuel?",yes
460,Energy,Fossil Fuel,"Define what a fossil fuel is.","According to this definition, is solar energy a fossil fuel?",no
461,Ethics,Responsibility,"Define responsibility by stating a necessary condition that makes an agent responsible for an outcome.","According to this definition, does responsibility involve accountability?",yes
462,Ethics,Responsibility,"Define responsibility by stating a necessary condition that makes an agent responsible for an outcome.","According to this definition, does responsibility exclude accountability?",no
463,Ethics,Honesty,"Define honesty by stating a necessary condition that must be satisfied for a person to be considered honest.","According to this definition, does honesty involve telling the truth?",yes
464,Ethics,Honesty,"Define honesty by stating a necessary condition that must be satisfied for a person to be considered honest.","According to this definition, does honesty involve deliberate deception?",no
465,Procedural,Algorithm,"Define what an algorithm is.","According to this definition, is a step-by-step procedure an algorithm?",yes
466,Procedural,Algorithm,"Define what an algorithm is.","According to this definition, is random guessing an algorithm?",no
467,Procedural,Rule,"Define what a rule is.","According to this definition, does a rule guide behavior?",yes
468,Procedural,Rule,"Define what a rule is.","According to this definition, does a rule prohibit all behavior?",no
469,Abstract,Risk,"Define risk by stating a condition that makes an action or situation risky.","According to this definition, does risk involve uncertainty?",yes
470,Abstract,Risk,"Define risk by stating a condition that makes an action or situation risky.","According to this definition, does risk imply guaranteed outcomes?",no
471,Abstract,Efficiency,"Define efficiency by stating a condition that must be met for a system or process to be considered efficient.","According to this definition, does efficiency involve minimizing waste?",yes
472,Abstract,Efficiency,"Define efficiency by stating a condition that must be met for a system or process to be considered efficient.","According to this definition, does efficiency require maximum effort regardless of outcome?",no
473,Everyday,Profession,"Define what a profession is.","According to this definition, is medicine a profession?",yes
474,Everyday,Profession,"Define what a profession is.","According to this definition, is a hobby a profession?",no
475,Everyday,Exercise,"Define exercise by stating a necessary condition that must be satisfied for an activity to count as exercise.","According to this definition, does exercise involve physical activity?",yes
476,Everyday,Exercise,"Define exercise by stating a necessary condition that must be satisfied for an activity to count as exercise.","According to this definition, does exercise involve no bodily movement?",no
477,Abstract,Freedom,"Define freedom by stating a condition that must be met for an agent to be considered free.","According to this definition, does freedom involve the absence of constraints?",yes
478,Abstract,Freedom,"Define freedom by stating a condition that must be met for an agent to be considered free.","According to this definition, does freedom require complete control over others?",no
479,Procedural,Instruction,"Define what an instruction is.","According to this definition, does an instruction provide guidance?",yes
480,Procedural,Instruction,"Define what an instruction is.","According to this definition, does an instruction prohibit understanding?",no
 
